code,id,user_type_id/id,name,reconcile,chart_template_id/id,group_id/id
766000,gd_acc_766000,account.data_account_type_revenue,Prihodki od odprave rezervacij,0,gd_chart,
767000,gd_acc_767000,account.data_account_type_revenue,Prihodki od poslovnih združitev (presežek iz prevrednotenja - slabo ime),0,gd_chart,
768000,gd_acc_768000,account.data_account_type_revenue,"Drugi prihodki, povezani s poslovnimi učinki (subvencije, dotacije, regresi, kompenzacije, premije ...)",0,gd_chart,
769000,gd_acc_769000,account.data_account_type_revenue,Prevrednotovalni poslovni prihodki,0,gd_chart,
770000,gd_acc_770000,account.data_account_type_revenue,Finančni prihodki iz deležev v družbah v skupini,0,gd_chart,
771000,gd_acc_771000,account.data_account_type_revenue,Finančni prihodki iz deležev v pridruženih družbah in skupaj obvladovanih družbah,0,gd_chart,
772000,gd_acc_772000,account.data_account_type_revenue,Finančni prihodki iz deležev v drugih družbah,0,gd_chart,
773000,gd_acc_773000,account.data_account_type_revenue,Finančni prihodki iz drugih naložb,0,gd_chart,
774000,gd_acc_774000,account.data_account_type_revenue,"Finančni prihodki iz posojil, danih družbam v skupini",0,gd_chart,
775000,gd_acc_775000,account.data_account_type_revenue,"Finančni prihodki iz posojil, danih drugim (tudi od depozitov)",0,gd_chart,
776000,gd_acc_776000,account.data_account_type_revenue,Finančni prihodki iz poslovnih terjatev do družb v skupini,0,gd_chart,
777000,gd_acc_777000,account.data_account_type_revenue,Finančni prihodki iz poslovnih terjatev do drugih,0,gd_chart,
778000,gd_acc_778000,account.data_account_type_revenue,"Finančni prihodki iz finančnih sredstev, razporejenih po pošteni vrednosti prek poslovnega izida",0,gd_chart,
779000,gd_acc_779000,account.data_account_type_revenue,"Finančni prihodki iz vrednotenja naložbenih nepremičnin po pošteni vrednosti in prihodki od odtujitve naložbenih nepremičnin, merjenih po pošteni vrednosti ",0,gd_chart,
780000,gd_acc_780000,account.data_account_type_other_income,Prihodki iz vrednotenja naložbenih nepremičnin po pošteni vrednosti,0,gd_chart,
781000,gd_acc_781000,account.data_account_type_other_income,"Prihodki iz odtujitve naložbenih nepremičnin, izmerjenih po pošteni vrednosti",0,gd_chart,
784000,gd_acc_784000,account.data_account_type_other_income,Donacije,0,gd_chart,
785000,gd_acc_785000,account.data_account_type_other_income,"Subvencije, dotacije in podobni prihodki, ki niso povezani s poslovnimi učinki",0,gd_chart,
786000,gd_acc_786000,account.data_account_type_other_income,"Prejete odškodnine, ki niso povezane s poslovnimi učinki ",0,gd_chart,
787000,gd_acc_787000,account.data_account_type_other_income,"Prejete kazni, ki niso povezane s poslovnimi učinki ",0,gd_chart,
788000,gd_acc_788000,account.data_account_type_other_income,Pozitivne evrske izravnave,0,gd_chart,
789000,gd_acc_789000,account.data_account_type_other_income,"Ostali prihodkii, ki niso povezani s poslovnimi učinki ",0,gd_chart,
800000,gd_acc_800000,account.data_account_type_current_liabilities,Dobiček ali izguba pred obdavčitvijo oziroma presežek prihodkov ali presežek odhodkov,1,gd_chart,
801000,gd_acc_801000,account.data_account_type_current_liabilities,Ugotovitev in prenos dohodka samostojnih podjetnikov posameznikov,0,gd_chart,
803000,gd_acc_803000,account.data_account_type_current_liabilities,Ugotovitev in prenos negativnega poslovnega izida,0,gd_chart,
804000,gd_acc_804000,account.data_account_type_current_liabilities,"Presežek prihodkov iz prejšnjih let, namenjen pokritju presežka odhodkov obračunskega obdobja",0,gd_chart,
805000,gd_acc_805000,account.data_account_type_current_liabilities,"Presežek odhodkov iz prejšnjih let, ki se pokriva iz presežka prihodkov obračunskega obdobja ",0,gd_chart,
806000,gd_acc_806000,account.data_account_type_current_liabilities,Celotni presežek prihodkov ali celotni presežek odhodkov ,0,gd_chart,
810000,gd_acc_810000,account.data_account_type_current_liabilities,Davek od dohodkov pravnih oseb,0,gd_chart,
812000,gd_acc_812000,account.data_account_type_current_liabilities,"Drugi davki, ki niso izkazani v drugih postavkah",0,gd_chart,
813000,gd_acc_813000,account.data_account_type_current_liabilities,Prihodki (odhodki) iz naslova odloženega davka,0,gd_chart,
815000,gd_acc_815000,account.data_account_type_current_liabilities,Čisti dobiček poslovnega leta,0,gd_chart,
820000,gd_acc_820000,account.data_account_type_current_liabilities,Čisti dobiček za kritje prenesenih izgub,0,gd_chart,
821000,gd_acc_821000,account.data_account_type_current_liabilities,Čisti dobiček za oblikovanje zakonskih rezerv,0,gd_chart,
822000,gd_acc_822000,account.data_account_type_current_liabilities,Čisti dobiček za oblikovanje rezerv za lastne delnice oziroma deleže,0,gd_chart,
823000,gd_acc_823000,account.data_account_type_current_liabilities,Čisti dobiček za oblikovanje statutarnih rezerv,0,gd_chart,
824000,gd_acc_824000,account.data_account_type_current_liabilities,Čisti dobiček za druge rezerve iz dobička,0,gd_chart,
829000,gd_acc_829000,account.data_account_type_current_liabilities,Prenos neuporabljenega dela čistega dobička poslovnega leta,0,gd_chart,
890000,gd_acc_890000,account.data_account_type_current_liabilities,Izguba tekočega leta,0,gd_chart,
899000,gd_acc_899000,account.data_account_type_current_liabilities,Prenos izgube tekočega leta,0,gd_chart,
900000,gd_acc_900000,account.data_account_type_equity,Osnovni delniški kapital - navadne delnice,0,gd_chart,
901000,gd_acc_901000,account.data_account_type_equity,Osnovni delniški kapital - prednostne delnice,0,gd_chart,
902000,gd_acc_902000,account.data_account_type_equity,Osnovni kapital - kapitalski deleži,0,gd_chart,
903000,gd_acc_903000,account.data_account_type_equity,Osnovni kapital - kapitalska vloga,0,gd_chart,
905000,gd_acc_905000,account.data_account_type_equity,Nerazdružljivi zadružni kapital,0,gd_chart,
906000,gd_acc_906000,account.data_account_type_equity,Deleži članov zadruge,0,gd_chart,
907000,gd_acc_907000,account.data_account_type_equity,Ustanovitvena in kasnejše vloge,0,gd_chart,
909000,gd_acc_909000,account.data_account_type_equity,Nevpoklicani kapital (odbitna postavka),0,gd_chart,
910000,gd_acc_910000,account.data_account_type_equity,Vplačila nad najmanjšimi emisijskimi zneski delnic oziroma deležev (vplačani presežek kapitala),0,gd_chart,
911000,gd_acc_911000,account.data_account_type_equity,Vplačila nad knjigovodsko vrednostjo pri odtujitvi začasno odkupljenih lastnih delnic oziroma deležev,0,gd_chart,
912000,gd_acc_912000,account.data_account_type_equity,"Vplačila nad najmanjšim emisijskim zneskom kapitala, pridobljena z izdajo zamenljivih obveznic in obveznic z delniško nakupno opcijo",0,gd_chart,
913000,gd_acc_913000,account.data_account_type_equity,Vplačila za pridobitev dodatnih pravic iz delnic oziroma deležev,0,gd_chart,
914000,gd_acc_914000,account.data_account_type_equity,Druga vplačila kapitala na podlagi statuta,0,gd_chart,
915000,gd_acc_915000,account.data_account_type_equity,Zneski iz poenostavljenega zmanjšanja osnovnega kapitala in zneski zmanjšanja osnovnega kapitala z umikom delnic oziroma deležev,0,gd_chart,
916000,gd_acc_916000,account.data_account_type_equity,Splošni prevrednotovalni popravek kapitala,0,gd_chart,
917000,gd_acc_917000,account.data_account_type_equity,Zneski iz učinkov potrjene prisilne poravnave,0,gd_chart,
918000,gd_acc_918000,account.data_account_type_equity,Prenosi stvarnega premoženja med opravljanjem dejavnosti,0,gd_chart,
919000,gd_acc_919000,account.data_account_type_equity,Pritoki in odtoki med podjetjem in gospodinjstvom,0,gd_chart,
920000,gd_acc_920000,account.data_account_type_non_current_liabilities,Zakonske rezerve,0,gd_chart,
921000,gd_acc_921000,account.data_account_type_non_current_liabilities,Rezerve za lastne delnice oziroma lastne poslovne deleže,0,gd_chart,
922000,gd_acc_922000,account.data_account_type_non_current_liabilities,Statutarne rezerve,0,gd_chart,
923000,gd_acc_923000,account.data_account_type_non_current_liabilities,Druge rezerve iz dobička,0,gd_chart,
924000,gd_acc_924000,account.data_account_type_non_current_liabilities,Prostovoljne zadružne rezerve,0,gd_chart,
925000,gd_acc_925000,account.data_account_type_non_current_liabilities,Prostovoljni zadružni skladi,0,gd_chart,
926000,gd_acc_926000,account.data_account_type_non_current_liabilities,Del čistega presežka prihodkov za določen namen (sklad),0,gd_chart,
929000,gd_acc_929000,account.data_account_type_non_current_liabilities,Pridobljene lastne delnice oziroma lastni poslovni deleži (odbitna postavka),0,gd_chart,
930000,gd_acc_930000,account.data_account_type_non_current_liabilities,Preneseni čisti dobiček iz prejšnjih let,0,gd_chart,
931000,gd_acc_931000,account.data_account_type_non_current_liabilities,Prenesena čista izguba iz prejšnjih let,0,gd_chart,
932000,gd_acc_932000,account.data_unaffected_earnings,Neuporabljeni del čistega dobička poslovnega leta oziroma nerazporejeni čisti presežek prihodkov,0,gd_chart,
933000,gd_acc_933000,account.data_account_type_non_current_liabilities,Čista izguba poslovnega leta oziroma čisti presežek odhodkov,0,gd_chart,
934000,gd_acc_934000,account.data_account_type_non_current_liabilities,Prenos iz presežka iz prevrednotenja,0,gd_chart,
935000,gd_acc_935000,account.data_account_type_non_current_liabilities,Dohodek samostojnih podjetnikov posameznikov,0,gd_chart,
937000,gd_acc_937000,account.data_account_type_non_current_liabilities,Negativni poslovni izid samostojnih podjetnikov posameznikov,0,gd_chart,
